x, y
104.12729371884444, 2.880913523521606
124.07290401518733, 2.880913523521606
136.35171281718038, 2.880913523521606
164.67500126830387, 2.880913523521606
185.91780027054278, 2.880913523521606
207.09009830857286, 2.880913523521606
240.19394440605748, 2.87438833773014
274.8590634861181, 2.87438833773014
327.5085572808054, 2.880913523521606
390.2429069305576, 2.8939641440244213
477.7017224175903, 2.887438958232955
617.1604859649408, 2.887438958232955
765.7285435826163, 2.887438958232955
924.7878968840434, 2.887438958232955
1044.083984704947, 2.887438958232955
1244.079184341621, 2.887438958232955
1442.94820892513, 2.887438958232955
1889.499407568083, 2.887438958232955
2312.963463672661, 2.87438833773014
2682.696189456753, 2.880913523521606
3419.464395107116, 2.9070147645272364
4185.815660769036, 2.9070147645272364
5193.460376217377, 2.9004895787357703
5707.425478554518, 2.9004895787357703
6986.541806076428, 2.9004895787357703
8786.059586316953, 2.8939641440244213
11979.930413330814, 2.8939641440244213
16334.840312882947, 2.9004895787357703
20542.17046027352, 2.9070147645272364
26539.18817766905, 2.9004895787357703
31199.315448228706, 2.8939641440244213
34752.307829813064, 2.8939641440244213
42540.801000895, 2.8939641440244213
55705.9621346628, 2.9004895787357703
73935.39675717434, 2.9200653850300515
86918.11231472215, 2.9200653850300515
100812.17985658525, 2.9200653850300515
118514.21299373853, 2.9200653850300515
135618.34655658272, 2.913539950318703
166012.37308287979, 2.9004895787357703
197812.1882158084, 2.9265905708215176
252138.5170149559, 2.9200653850300515
304513.4608444508, 2.9200653850300515
377818.4996875653, 2.9331160055328667
468770.6255417527, 2.9396411913243328
558563.4739958283, 2.9657424323299626
639176.1196964385, 2.959216997618615
771947.6365697187, 2.9657424323299626
895345.3072697597, 2.9983688591270594
1096005.0978534701, 3.044045657507089
1305945.8320846916, 3.0701468985127187
1535262.333600459, 3.128874566315446
1829343.17518128, 3.1549755584011936
2121768.0444787536, 3.1941274199096394
2460937.7265285705, 3.220228411995387
2972130.8465673146, 3.31158250659521
3494019.757299496, 3.363784739686588
3944746.503787057, 3.429037593280781
4393967.0098520955, 3.520391687880604
5028110.347674471, 3.611745533560545
5600713.864847703, 3.676998387154738
5911029.474406704, 3.774877667546028
6409016.561813603, 3.853181141643036
7138878.313279181, 3.931484615740044
7433520.789499093, 4.022838461419985
8280053.553247254, 4.120717741811275
8506336.692453222, 4.199021215908283
8977624.047593098, 4.309951116802387
9733982.856090399, 4.40130521140221
10412729.371884456, 4.466558064996404
10697295.77895173, 4.525285483879248
11289971.617810063, 4.5774877169706265
11598535.778156258, 4.636215384773353
12241144.159180267, 4.747145285667457
13452575.546874672, 4.838499255807339
13820217.012666691, 4.916802605444406
14585946.019720653, 4.995106079541415
15187950.853626609, 5.0799347394298895
15814769.66319673, 5.171288834029712
16247000.255742628, 5.22349106712109
16467491.65815555, 5.327895657763787
17147153.40701389, 5.438825434197951
18097178.88443696, 5.523654218546367
